Timestamp,Type,Model,PromptTokens,CompletionTokens,TotalTokens,Cost,BatchNum
2026-02-04 00:26:21,Analysis,google/gemini-3-flash-preview,998,279,1277,0.000000,1
2026-02-04 00:26:22,Translate,google/gemini-2.5-flash-lite,282,291,573,0.000000,1
2026-02-04 00:26:41,Summary,google/gemini-3-pro-preview,348,1486,1834,0.000000,-
2026-02-04 00:26:51,Translate,google/gemini-2.5-flash-lite,204,206,410,0.000000,2
2026-02-04 00:26:51,Analysis,google/gemini-3-flash-preview,1178,268,1446,0.000000,2
2026-02-04 00:27:22,Analysis,google/gemini-3-flash-preview,1254,305,1559,0.000000,3
2026-02-04 00:27:22,Translate,google/gemini-2.5-flash-lite,245,216,461,0.000000,3
2026-02-04 00:27:57,Translate,google/gemini-2.5-flash-lite,217,193,410,0.000000,4
2026-02-04 00:27:57,Analysis,google/gemini-3-flash-preview,1285,296,1581,0.000000,4
2026-02-04 00:28:29,Translate,google/gemini-2.5-flash-lite,205,200,405,0.000000,5
2026-02-04 00:28:29,Analysis,google/gemini-3-flash-preview,1321,294,1615,0.000000,5
2026-02-04 00:28:50,Summary,google/gemini-3-pro-preview,562,1626,2188,0.000000,-
2026-02-04 00:28:58,Translate,google/gemini-2.5-flash-lite,195,193,388,0.000000,6
2026-02-04 00:28:59,Analysis,google/gemini-3-flash-preview,1369,278,1647,0.000000,6
2026-02-04 00:29:34,Translate,google/gemini-2.5-flash-lite,238,266,504,0.000000,7
2026-02-04 00:29:37,Analysis,google/gemini-3-flash-preview,1412,258,1670,0.000000,7
2026-02-04 00:30:04,Translate,google/gemini-2.5-flash-lite,202,213,415,0.000000,8
2026-02-04 00:30:11,Analysis,google/gemini-3-flash-preview,0,0,0,0.000000,8
2026-02-04 00:30:17,Analysis,google/gemini-3-flash-preview,1393,280,1673,0.000000,8
2026-02-04 00:30:38,Translate,google/gemini-2.5-flash-lite,291,266,557,0.000000,9
2026-02-04 00:30:51,Analysis,google/gemini-3-flash-preview,1470,305,1775,0.000000,9
2026-02-04 00:31:09,Translate,google/gemini-2.5-flash-lite,219,251,470,0.000000,10
2026-02-04 00:31:12,Analysis,google/gemini-3-flash-preview,1413,302,1715,0.000000,10
2026-02-04 00:31:41,Summary,google/gemini-3-pro-preview,817,2183,3000,0.000000,-
2026-02-04 00:31:44,Analysis,google/gemini-3-flash-preview,1392,312,1704,0.000000,11
2026-02-04 00:31:44,Translate,google/gemini-2.5-flash-lite,249,247,496,0.000000,11
2026-02-04 00:32:14,Translate,google/gemini-2.5-flash-lite,233,226,459,0.000000,12
2026-02-04 00:32:16,Analysis,google/gemini-3-flash-preview,1403,315,1718,0.000000,12
2026-02-04 00:32:19,Summary,google/gemini-3-pro-preview,826,2168,2994,0.000000,-
2026-02-04 00:32:41,Summary,google/gemini-3-pro-preview,838,1897,2735,0.000000,-
2026-02-04 00:32:44,Translate,google/gemini-2.5-flash-lite,212,213,425,0.000000,13
2026-02-04 00:32:46,Analysis,google/gemini-3-flash-preview,1384,278,1662,0.000000,13
2026-02-04 00:33:14,Summary,google/gemini-3-pro-preview,840,2067,2907,0.000000,-
2026-02-04 00:33:21,Translate,google/gemini-2.5-flash-lite,276,240,516,0.000000,14
2026-02-04 00:33:22,Analysis,google/gemini-3-flash-preview,1465,299,1764,0.000000,14
2026-02-04 00:33:47,Summary,google/gemini-3-pro-preview,832,1722,2554,0.000000,-
2026-02-04 00:33:51,Translate,google/gemini-2.5-flash-lite,274,266,540,0.000000,15
2026-02-04 00:33:54,Analysis,google/gemini-3-flash-preview,1467,308,1775,0.000000,15
2026-02-04 00:34:23,Translate,google/gemini-2.5-flash-lite,232,207,439,0.000000,16
2026-02-04 00:34:24,Analysis,google/gemini-3-flash-preview,1450,322,1772,0.000000,16
2026-02-04 00:34:33,Summary,google/gemini-3-pro-preview,842,1849,2691,0.000000,-
2026-02-04 00:34:50,Summary,google/gemini-3-pro-preview,859,1984,2843,0.000000,-
2026-02-04 00:34:52,Translate,google/gemini-2.5-flash-lite,207,230,437,0.000000,17
2026-02-04 00:34:54,Analysis,google/gemini-3-flash-preview,1439,307,1746,0.000000,17
2026-02-04 00:34:59,Analysis,google/gemini-3-flash-preview,1439,270,1709,0.000000,17
2026-02-04 00:35:23,Translate,google/gemini-2.5-flash-lite,222,205,427,0.000000,18
2026-02-04 00:35:25,Analysis,google/gemini-3-flash-preview,1419,326,1745,0.000000,18
2026-02-04 00:35:30,Summary,google/gemini-3-pro-preview,870,1910,2780,0.000000,-
2026-02-04 00:35:50,Summary,google/gemini-3-pro-preview,884,1849,2733,0.000000,-
2026-02-04 00:35:54,Translate,google/gemini-2.5-flash-lite,219,201,420,0.000000,19
2026-02-04 00:35:55,Analysis,google/gemini-3-flash-preview,1447,306,1753,0.000000,19
2026-02-04 00:36:21,Summary,google/gemini-3-pro-preview,903,2043,2946,0.000000,-
2026-02-04 00:36:25,Translate,google/gemini-2.5-flash-lite,189,172,361,0.000000,20
2026-02-04 00:36:25,Analysis,google/gemini-3-flash-preview,1440,270,1710,0.000000,20
2026-02-04 11:55:25,Translate,google/gemini-2.5-flash-lite,251,248,499,0.000000,1
2026-02-04 11:55:25,Analysis,google/gemini-3-flash-preview,957,270,1227,0.000000,1
2026-02-04 11:55:46,Summary,google/gemini-3-pro-preview,346,1403,1749,0.000000,-
2026-02-04 11:55:58,Translate,google/gemini-2.5-flash-lite,290,259,549,0.000000,2
2026-02-04 11:56:00,Analysis,google/gemini-3-flash-preview,1231,276,1507,0.000000,2
2026-02-04 12:15:09,Translate,google/gemini-2.5-flash-lite,227,188,415,0.000000,10
