generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1770138563-voyotKbZgH5NGYN6NJds,09:22.4,0.02521,,,,0.02521,881,1954,1654,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,24096,4234,,obsidian_openrouter
gen-1770138558-OeR8ISwnSdBevfXjw5L3,09:18.0,0.001711,,,,0.001711,1394,338,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3051,1093,,obsidian_openrouter
gen-1770138533-rk9HWqX3JNK8fjPRJ5xh,08:52.7,0.0261,,,,0.0261,876,2029,1848,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,MAX_TOKENS,length,24531,3795,,obsidian_openrouter
gen-1770138528-lVuyNPXrgjUt7OjkTFcD,08:47.4,0.001733,,,,0.001733,1415,342,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3007,968,,obsidian_openrouter
gen-1770138500-rYdqL7kmgQGgb5HIQ3jJ,08:20.5,0.026134,,,,0.026134,881,2031,1984,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,MAX_TOKENS,length,27345,5782,,obsidian_openrouter
gen-1770138497-xB5UgmNwtEe7gOXZOv1Q,08:16.2,0.001524,,,,0.001524,1411,273,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2674,1388,,obsidian_openrouter
gen-1770138469-qKWFK3tinHjcxEaIC6qU,07:48.6,0.026324,,,,0.026324,898,2044,2042,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,MAX_TOKENS,length,26379,3561,,obsidian_openrouter
gen-1770138465-wvBifjDC9LZ1aJ6oPIJL,07:43.7,0.001624,,,,0.001624,1419,305,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3026,1565,,obsidian_openrouter
gen-1770138435-hC04yBdjI3gmpYaYjG7W,07:14.8,0.024524,,,,0.024524,892,1895,1571,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,24668,3285,,obsidian_openrouter
gen-1770138430-1JvjlBrYzhAEC71zgxyw,07:10.2,0.001552,,,,0.001552,1437,278,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,3304,1514,,obsidian_openrouter
gen-1770138403-afXfbm651T3q9wAaWTlG,06:42.7,0.024916,,,,0.024916,890,1928,1609,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,26978,7344,,obsidian_openrouter
gen-1770138399-ld47kBNOxtdiVHUfvYTY,06:38.7,0.00151,,,,0.00151,1460,260,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2540,1431,,obsidian_openrouter
gen-1770138374-7EbIiuzCeYzbtagmtZVU,06:13.0,0.026218,,,,0.026218,917,2032,1884,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,MAX_TOKENS,length,24372,3735,,obsidian_openrouter
gen-1770138368-YfdFlnVvu8TyZ7q5hEOS,06:08.0,0.001725,,,,0.001725,1447,334,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,3646,1590,,obsidian_openrouter
gen-1770138343-aiwDxD6BTRzpwvft7Nwz,05:42.7,0.018168,,,,0.018168,888,1366,1028,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,17438,3362,,obsidian_openrouter
gen-1770138338-9Lx140QQfEYdv4WtZkVp,05:37.6,0.00165,,,,0.00165,1447,309,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3249,1430,,obsidian_openrouter
gen-1770138323-humND4oHyaCaz9PLNz0V,05:22.7,0.02611,,,,0.02611,881,2029,1690,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,MAX_TOKENS,length,25582,3624,,obsidian_openrouter
gen-1770138309-1I1l1JF3NW1zHQxkPW2X,05:08.6,0.001642,,,,0.001642,1448,306,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,12136,10120,,obsidian_openrouter
gen-1770138283-ibzoTLxG8uAHfX5AfdGe,04:42.1,0.022208,,,,0.022208,868,1706,1398,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,20947,3504,,obsidian_openrouter
gen-1770138278-TRKk95thj0HyVgEpBg3Q,04:37.1,0.001616,,,,0.001616,1391,307,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2986,1256,,obsidian_openrouter
gen-1770138251-I9g9GFCG7eYgOcftpDwn,04:10.4,0.02577,,,,0.02577,861,2004,1705,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,23700,4222,,obsidian_openrouter
gen-1770138247-iBETxAqvGIaPS9or4Vfn,04:06.2,0.001575,,,,0.001575,1428,287,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2772,990,,obsidian_openrouter
gen-1770138220-Oj3sPojS0yp9rLZLjuSF,03:39.6,0.025908,,,,0.025908,852,2017,1675,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,37441,7930,,obsidian_openrouter
gen-1770138216-yYF0nmjcFpTR80XxJLiO,03:35.2,0.001652,,,,0.001652,1438,311,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2975,1216,,obsidian_openrouter
gen-1770138197-7S38rPSTVVRRUFTBOKae,03:16.0,0.021092,,,,0.021092,844,1617,1301,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,19798,3452,,obsidian_openrouter
gen-1770138186-1QgjlFfhUVwm0QspeSd1,03:04.8,0.001617,,,,0.001617,1410,304,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,9103,6992,,obsidian_openrouter
gen-1770137132-iUmuhPGEHkoJn0N6qwGD,45:31.9,0.021012,,,,0.021012,840,1611,1305,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,21746,4929,,obsidian_openrouter
gen-1770137128-LnniEKavWh2XbAFy0tfr,45:27.7,0.000144,,,,0.000144,275,292,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2049,599,,obsidian_openrouter
gen-1770137128-w9Z2Hh98WDJgUtL6QgDg,45:27.7,0.00159,,,,0.00159,1446,289,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2613,1124,,obsidian_openrouter
gen-1770137104-Iv5phqrPGaJr1PyySmEC,45:03.2,0.024506,,,,0.024506,841,1902,1624,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,22982,3624,,obsidian_openrouter
gen-1770137097-b81pYeJ9NnvtYbHvCNsi,44:56.8,0.000096,,,,0.000096,200,192,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2399,1629,,obsidian_openrouter
gen-1770137097-uH0CPQw9xzeM0o1tAmP3,44:56.7,0.001555,,,,0.001555,1389,287,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2944,1343,,obsidian_openrouter
gen-1770137072-cwTbOsvmSg76d9XAj4h3,44:31.8,0.024134,,,,0.024134,853,1869,1555,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,24053,4011,,obsidian_openrouter
gen-1770137067-DmRX8EYJCDFPGuUAPPsu,44:26.5,0.000112,,,,0.000112,213,229,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2530,1672,,obsidian_openrouter
gen-1770137067-GRdFWprW0bNWGmMgKhzq,44:26.5,0.001677,,,,0.001677,1405,325,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3021,950,,obsidian_openrouter
gen-1770137040-yI7x3MwLfmphZ0QITPxb,43:59.8,0.023008,,,,0.023008,842,1777,1438,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,22979,3957,,obsidian_openrouter
gen-1770137037-9lYSQGlIGsRuor7n7lfF,43:56.1,0.000133,,,,0.000133,296,260,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1802,523,,obsidian_openrouter
gen-1770137037-PwiAmnPwTrSInabklUdJ,43:56.1,0.001517,,,,0.001517,1468,261,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2361,1168,,obsidian_openrouter
gen-1770137017-gdc1HSrXMZkdKEsfay4P,43:36.9,0.026032,,,,0.026032,842,2029,1699,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,MAX_TOKENS,length,26521,4086,,obsidian_openrouter
gen-1770137000-wXBEoT1dQND9zyWQ4nZG,43:19.9,0.001541,,,,0.001541,1397,281,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2944,1448,,obsidian_openrouter
gen-1770137001-FpAcCVMABLll32wnrJjC,43:19.9,0.000102,,,,0.000102,194,208,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,3007,1908,,obsidian_openrouter
gen-1770136975-nislddkPQzUhSY5niYjY,42:54.9,0.026242,,,,0.026242,851,2045,2045,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,MAX_TOKENS,length,27204,3713,,obsidian_openrouter
gen-1770136971-mNuv9KWQuU1zu0rj4iHx,42:49.9,0.001621,,,,0.001621,1388,309,0,0,google/gemini-3-flash-preview-20251217,Google,standard,FALSE,TRUE,,STOP,stop,3383,1512,,obsidian_openrouter
gen-1770136971-MyXwnNdbtbFvYqIkPm7D,42:49.9,0.000094,,,,0.000094,208,184,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,1872,790,,obsidian_openrouter
gen-1770136943-F4XvCqMnQ8n9nhMEPFrF,42:22.7,0.024142,,,,0.024142,845,1871,1522,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,24724,3975,,obsidian_openrouter
gen-1770136939-Jzazl0fQ0veGxWjQXrzk,42:18.6,0.000101,,,,0.000101,207,202,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2698,1754,,obsidian_openrouter
gen-1770136939-2hPYfsEdgEA2QRaiz60r,42:18.5,0.001533,,,,0.001533,1405,277,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2875,1180,,obsidian_openrouter
gen-1770136913-q9oRGgLNQl6SSRJJyVTs,41:52.6,0.026252,,,,0.026252,856,2045,2045,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,MAX_TOKENS,length,27149,3585,,obsidian_openrouter
gen-1770136909-da3U13XZD1L32Ly3Khvw,41:48.4,0.000128,,,,0.000128,241,262,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2005,551,,obsidian_openrouter
gen-1770136909-CWJuRYrOjDsvpvxdcgWG,41:48.4,0.001507,,,,0.001507,1424,265,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2560,1133,,obsidian_openrouter
gen-1770136881-vJKMURnOyl7kUMBBCwSi,41:20.2,0.022832,,,,0.022832,856,1760,1460,0,google/gemini-3-pro-preview-20251117,Google,standard,FALSE,TRUE,,STOP,stop,23124,4175,,obsidian_openrouter
gen-1770136876-IzbLMhWAdNPPg1uw1eyF,41:15.9,0.000097,,,,0.000097,214,191,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2902,1730,,obsidian_openrouter
gen-1770136876-3UWR4bbX6qJD0a9xoUqD,41:15.9,0.001649,,,,0.001649,1426,312,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3000,1027,,obsidian_openrouter
gen-1770136847-6RebZpJMuuo9IqBeSzS7,40:46.5,0.02442,,,,0.02442,864,1891,1520,0,google/gemini-3-pro-preview-20251117,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,23243,3260,,obsidian_openrouter
gen-1770136842-DhtRnYqtSnbd76LwUESI,40:42.1,0.001626,,,,0.001626,1429,304,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3027,1358,,obsidian_openrouter
gen-1770136842-pPCTZfsUelb40ZS17yqH,40:41.9,0.000107,,,,0.000107,227,213,0,0,google/gemini-2.5-flash-lite,Google,standard,FALSE,TRUE,,STOP,stop,2572,1715,,obsidian_openrouter
